SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz300919,20230811,20230810,6.70633576,6.70633576,62.26,807.54588183
sz300921,20230811,20230810,1.3155777,1.3155777,24.9,807.54588183
sz300925,20230811,20230810,3.74789534,3.74789534,14.76,807.54588183
sz300928,20230811,20230810,0.8,0.8,45.28,807.54588183
sz300935,20230811,20230810,0.7943068,0.7943068,30.1,807.54588183
sz300936,20230811,20230810,0.752,0.752,33.98,807.54588183
sz300937,20230811,20230810,0.95666682,0.95666682,32.27,807.54588183
sz300939,20230811,20230810,1.2,1.2,34.82,807.54588183
sz300941,20230811,20230810,2.0475,2.0475,23.21,807.54588183
sz300943,20230811,20230810,2.0382,2.0382,15.54,807.54588183
sz300945,20230811,20230810,2.61746864,2.61746864,14.73,807.54588183
sz300946,20230811,20230810,1.20006,1.20006,34.42,807.54588183
sz300947,20230811,20230810,1.53603596,1.53603596,16.27,807.54588183
sz300948,20230811,20230810,1.4001,1.4001,14.69,807.54588183
sz300949,20230811,20230810,0.6,0.6,38.23,807.54588183
sz300950,20230811,20230810,1.5,1.5,19.72,807.54588183
sz300951,20230811,20230810,1.20672,1.20672,48.49,807.54588183
sz300953,20230811,20230810,1.0278285,1.0278285,70.77,807.54588183
sz300956,20230811,20230810,1.32000792,1.32000792,15.92,807.54588183
sz300959,20230811,20230810,0.8,0.8,38.76,807.54588183
sz300961,20230811,20230810,1.7728,1.7728,11.09,807.54588183
sz300962,20230811,20230810,2.64001897,2.64001897,16.9,807.54588183
sz300963,20230811,20230810,2.34,2.34,13.09,807.54588183
sz300966,20230811,20230810,1.15277446,1.15277446,22.73,807.54588183
sz300969,20230811,20230810,0.8,0.8,74.46,807.54588183
sz300971,20230811,20230810,0.84,0.84,23.64,807.54588183
sz300978,20230811,20230810,4.22702739,4.22702739,12.39,807.54588183
sz300981,20230811,20230810,3.900078,3.900078,14.87,807.54588183
sz300987,20230811,20230810,1.73368,1.73368,18.11,807.54588183
sz300989,20230811,20230810,1.62891,1.62891,22.2,807.54588183
sz300990,20230811,20230810,1.6848,1.6848,43.87,807.54588183
sz300991,20230811,20230810,1.44,1.44,15.68,807.54588183
sz300994,20230811,20230810,2.33088,2.33088,14.98,807.54588183
sz300997,20230811,20230810,4.5,4.5,14.29,807.54588183
sz300999,20230811,20230810,54.21591536,54.21591536,42,807.54588183
sz301001,20230811,20230810,0.8,0.8,26.38,807.54588183
sz301007,20230811,20230810,1.5334,1.5334,16.52,807.54588183
sz301010,20230811,20230810,1.08,1.08,19.79,807.54588183
sz301011,20230811,20230810,1.46692,1.46692,22.05,807.54588183
sz301012,20230811,20230810,1.4249019,1.4249019,23.88,807.54588183
sz301016,20230811,20230810,1.2,1.2,23.66,807.54588183
sz301017,20230811,20230810,4.05340206,4.05340206,18.95,807.54588183
sz301020,20230811,20230810,1.464,1.464,20.68,807.54588183
