SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz300645,20230727,20230726,1.40364054,1.40364054,27.41,806.98694245
sz300650,20230727,20230726,2.18296126,2.18296126,12.53,806.98694245
sz300655,20230727,20230726,9.94576164,9.94576164,11.15,806.98694245
sz300657,20230727,20230726,4.88410056,4.88410056,18.1,806.98694245
sz300659,20230727,20230726,2.26379797,2.26379797,22.44,806.98694245
sz300663,20230727,20230726,4.62182216,4.62182216,13.59,806.98694245
sz300667,20230727,20230726,2.02764889,2.02764889,17.53,806.98694245
sz300669,20230727,20230726,1.92705526,1.92705526,14.86,806.98694245
sz300673,20230727,20230726,2.53420773,2.53420773,13.77,806.98694245
sz300674,20230727,20230726,7.10677844,7.10677844,16.64,806.98694245
sz300678,20230727,20230726,2.96386293,2.96386293,39.72,806.98694245
sz300688,20230727,20230726,1.67379464,1.67379464,29.69,806.98694245
sz300689,20230727,20230726,1.156,1.156,22.02,806.98694245
sz300696,20230727,20230726,2.93152983,2.93152983,23.2,806.98694245
sz300698,20230727,20230726,1.34,1.34,25.34,806.98694245
sz300699,20230727,20230726,8.31352,8.31352,30.34,806.98694245
sz300700,20230727,20230726,2.24950645,2.24950645,19.99,806.98694245
sz300705,20230727,20230726,3.44452427,3.44452427,25.2,806.98694245
sz300706,20230727,20230726,1.52852499,1.52852499,24.78,806.98694245
sz300707,20230727,20230726,1.56991598,1.56991598,16.47,806.98694245
sz300708,20230727,20230726,5.52182846,5.52182846,10.61,806.98694245
sz300710,20230727,20230726,0.994903,0.994903,25.01,806.98694245
sz300711,20230727,20230726,2.49170606,2.49170606,13.31,806.98694245
sz300721,20230727,20230726,1.64846739,1.64846739,17.34,806.98694245
sz300726,20230727,20230726,4.11839845,4.11839845,39,806.98694245
sz300729,20230727,20230726,3.1154426,3.1154426,16.72,806.98694245
sz300731,20230727,20230726,1.26431804,1.26431804,19.86,806.98694245
sz300735,20230727,20230726,7.70139176,7.70139176,10.83,806.98694245
sz300740,20230727,20230726,3.89464836,3.89464836,15.57,806.98694245
sz300741,20230727,20230726,6.1588,6.1588,23.25,806.98694245
sz300743,20230727,20230726,1.38465939,1.38465939,14.99,806.98694245
sz300746,20230727,20230726,2.25738328,2.25738328,11.85,806.98694245
sz300747,20230727,20230726,5.66619755,5.66619755,28.43,806.98694245
sz300748,20230727,20230726,11.41794851,11.41794851,17.7,806.98694245
sz300750,20230727,20230726,43.96292935,43.96292935,226.66,806.98694245
sz300753,20230727,20230726,1.26048,1.26048,17.36,806.98694245
sz300760,20230727,20230726,12.12441394,12.12441394,303.4,806.98694245
sz300766,20230727,20230726,4.001,4.001,15.64,806.98694245
sz300768,20230727,20230726,6.43829039,6.43829039,16.26,806.98694245
sz300770,20230727,20230726,2.31058146,2.31058146,43.23,806.98694245
sz300771,20230727,20230726,2.4,2.4,11.21,806.98694245
sz300775,20230727,20230726,5.5023045,5.5023045,31.85,806.98694245
sz300776,20230727,20230726,2.73075781,2.73075781,63.23,806.98694245
sz300779,20230727,20230726,1.35156625,1.35156625,49.04,806.98694245
sz300780,20230727,20230726,1.4667,1.4667,16.09,806.98694245
sz300782,20230727,20230726,5.33802594,5.33802594,115.4,806.98694245
sz300785,20230727,20230726,1.98855243,1.98855243,25.7,806.98694245
sz300786,20230727,20230726,1.84015879,1.84015879,17.55,806.98694245
sz300788,20230727,20230726,1.90151515,1.90151515,29.88,806.98694245
sz300792,20230727,20230726,2.38571459,2.38571459,27.48,806.98694245
sz300793,20230727,20230726,3.383888,3.383888,19.31,806.98694245
sz300796,20230727,20230726,3.61142872,3.61142872,11.55,806.98694245
sz300799,20230727,20230726,1.0203,1.0203,269.95,806.98694245
sz300807,20230727,20230726,0.67851,0.67851,30.39,806.98694245
