SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sh603306,20230814,20230811,3.25281052,3.25281052,27.23,788.67377025
sh603307,20230814,20230811,0.67,0.67,47.23,788.67377025
sh603309,20230814,20230811,2.93322218,2.93322218,12.76,788.67377025
sh603317,20230814,20230811,10.65574914,10.65574914,14.88,788.67377025
sh603319,20230814,20230811,2.08066462,2.08066462,16.27,788.67377025
sh603322,20230814,20230811,1.5760884,1.57719,23.64,788.67377025
sh603327,20230814,20230811,6.7769,6.7769,12.45,788.67377025
sh603348,20230814,20230811,2.63550675,2.63550675,46.8,788.67377025
sh603355,20230814,20230811,5.73888879,5.73888879,27.28,788.67377025
sh603360,20230814,20230811,3.60460991,3.60460991,10.62,788.67377025
sh603383,20230814,20230811,1.71217266,1.71217266,71.51,788.67377025
sh603386,20230814,20230811,3.2632256,3.2632256,10.51,788.67377025
sh603387,20230814,20230811,5.07153517,5.07153517,12.08,788.67377025
sh603388,20230814,20230811,3.25733572,3.25733572,10.33,788.67377025
sh603393,20230814,20230811,4.23921327,4.23921327,24.96,788.67377025
sh603396,20230814,20230811,1.16149042,1.16149042,58.4,788.67377025
sh603398,20230814,20230811,3.42634507,3.42634507,22.42,788.67377025
sh603399,20230814,20230811,5.18650649,5.18650649,11.23,788.67377025
sh603421,20230814,20230811,6.52190511,6.52190511,10.33,788.67377025
sh603429,20230814,20230811,5.24485465,5.24485465,10.23,788.67377025
sh603439,20230814,20230811,4.09862216,4.09862216,15.99,788.67377025
sh603456,20230814,20230811,8.99492328,8.99492328,28.41,788.67377025
sh603466,20230814,20230811,5.94774319,5.94774319,12.99,788.67377025
sh603486,20230814,20230811,5.76864534,5.76864534,74.38,788.67377025
sh603489,20230814,20230811,1.68118637,1.68118637,58.82,788.67377025
sh603496,20230814,20230811,3.20209243,3.20209243,17.92,788.67377025
sh603501,20230814,20230811,11.82541071,11.82541071,100.79,788.67377025
sh603507,20230814,20230811,1.42030934,1.42030934,28.2,788.67377025
sh603508,20230814,20230811,3.81274377,3.81274377,15.74,788.67377025
sh603515,20230814,20230811,7.46426035,7.46426035,19.32,788.67377025
sh603517,20230814,20230811,6.31238701,6.31238701,36.38,788.67377025
sh603520,20230814,20230811,3.42514501,3.42514501,14.9,788.67377025
sh603529,20230814,20230811,8.61924006,8.61924006,33.83,788.67377025
sh603530,20230814,20230811,4.32263327,4.32263327,15.02,788.67377025
sh603533,20230814,20230811,4.38896835,4.38896835,22.68,788.67377025
sh603538,20230814,20230811,2.13404715,2.13404715,18.06,788.67377025
sh603566,20230814,20230811,3.52916573,3.52916573,21.79,788.67377025
sh603567,20230814,20230811,9.41963592,9.41963592,13.65,788.67377025
sh603569,20230814,20230811,5.60349223,5.60349223,12.56,788.67377025
sh603578,20230814,20230811,1.80357032,1.80357032,14.35,788.67377025
sh603583,20230814,20230811,3.84633055,3.84633055,19.21,788.67377025
sh603595,20230814,20230811,2.32442326,2.32442326,34.62,788.67377025
sh603605,20230814,20230811,3.96928545,3.96928545,108.77,788.67377025
sh603613,20230814,20230811,7.22333313,7.22333313,40.05,788.67377025
sh603628,20230814,20230811,2.738,2.738,14.37,788.67377025
sh603629,20230814,20230811,2.548,2.548,22.44,788.67377025
sh603630,20230814,20230811,2.2520458,2.2520458,15.49,788.67377025
sh603650,20230814,20230811,5.95062991,5.95062991,29.69,788.67377025
sh603656,20230814,20230811,1.83375358,1.83375358,12.28,788.67377025
sh603662,20230814,20230811,2.83235792,2.83235792,27.25,788.67377025
sh603666,20230814,20230811,2.06490816,2.06490816,35.19,788.67377025
sh603688,20230814,20230811,3.61277126,3.61277126,93.94,788.67377025
sh603693,20230814,20230811,8.9147588,8.9147588,12.48,788.67377025
sh603707,20230814,20230811,16.16648684,16.16648684,13.36,788.67377025
sh603716,20230814,20230811,2.02100979,2.02100979,14.53,788.67377025
sh603721,20230814,20230811,1.3,1.3,16.87,788.67377025
sh603727,20230814,20230811,2.81719277,2.81719277,12.98,788.67377025
sh603737,20230814,20230811,5.27012481,5.27012481,76.99,788.67377025
sh603767,20230814,20230811,3.07445,3.07445,12.44,788.67377025
sh603773,20230814,20230811,1.71182564,1.71182564,28.7,788.67377025
sh603777,20230814,20230811,3.36559908,3.36559908,14.36,788.67377025
sh603788,20230814,20230811,2.23065068,2.23065068,12.21,788.67377025
sh603798,20230814,20230811,2.59180689,2.59180689,10.07,788.67377025
sh603799,20230814,20230811,16.99465419,16.99465419,49.82,788.67377025
sh603825,20230814,20230811,2.53336552,2.53336552,12.71,788.67377025
sh603829,20230814,20230811,1.6,1.6,14.46,788.67377025
sh603848,20230814,20230811,4.01,4.01,14.8,788.67377025
sh603860,20230814,20230811,0.6668,0.6668,27.35,788.67377025
